Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
Pyrene,000129-00-0,1.90E-03,4.04E+02,5.69E-02,1.14E-02,1.27E+00,2.78E-02,7.25E-06,1.51E+03,4.87E-04,NA,5.43E+04,2.01E-01,4.88E+00,5.99E-04,1.51E+02,2.02E+02,1.30E-01,1.00E+00,1.35E-01,4.50E-06
Pyridine,000110-86-1,1.12E-07,1.15E+02,1.62E+01,3.23E+00,9.82E-01,9.31E-02,1.09E-05,3.16E+00,4.50E-04,NA,7.17E+01,1.52E-03,6.50E-01,3.53E-08,-4.16E+01,7.91E+01,NA,1.00E+00,1.00E+06,2.08E+01
"Quaternary ammonium compounds, total",000000-08-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Quinalphos,013593-03-8,6.89E-04,3.98E+02,1.02E-01,2.05E-02,NA,4.26E-02,4.97E-06,NA,1.90E-06,NA,4.19E+03,2.96E-02,4.44E+00,2.18E-04,3.15E+01,2.98E+02,1.00E-01,1.00E+00,2.20E+01,2.60E-06
Quinoline,000091-22-5,2.68E-06,2.37E+02,2.56E+00,5.12E-01,1.10E+00,6.18E-02,8.69E-06,3.80E+00,6.83E-05,NA,1.54E+03,6.59E-03,2.03E+00,8.47E-07,-1.48E+01,1.29E+02,1.00E-01,1.00E+00,6.11E+03,6.00E-02
Refractory Ceramic Fibers,000000-00-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Reserpine,000050-55-5,NA,6.82E+02,NA,NA,NA,2.65E-02,3.09E-06,7.24E+01,2.19E-21,NA,1.84E+06,9.72E-05,3.32E+00,NA,2.65E+02,6.09E+02,1.00E-01,1.00E+00,7.30E+01,1.18E-15
Resmethrin,010453-86-8,3.45E-02,4.05E+02,1.06E-02,2.11E-03,NA,3.91E-02,4.57E-06,2.88E+02,5.44E-06,NA,3.11E+05,2.38E-01,6.14E+00,1.09E-02,3.20E+01,3.38E+02,1.00E-01,1.00E+00,3.79E-02,1.40E-04
Resorcinol,000108-46-3,1.58E-07,2.80E+02,1.32E+01,2.65E+00,1.28E+00,7.85E-02,1.05E-05,3.16E+00,4.04E-09,NA,2.41E+02,1.28E-03,8.00E-01,4.98E-08,1.11E+02,1.10E+02,1.00E-01,1.00E+00,7.17E+05,4.89E-04
Ronnel,000299-84-3,1.90E-03,1.52E+02,5.69E-02,1.14E-02,1.44E+00,2.32E-02,5.91E-06,3.84E+03,1.31E-03,NA,4.46E+03,4.30E-02,4.88E+00,5.99E-04,4.10E+01,3.22E+02,1.00E-01,1.00E+00,1.00E+00,7.50E-05
Rotenone,000083-79-4,3.15E-04,2.15E+02,1.61E-01,3.22E-02,NA,3.53E-02,4.13E-06,2.57E+01,4.58E-12,NA,2.61E+05,5.09E-03,4.10E+00,9.95E-05,1.76E+02,3.94E+02,1.00E-01,1.00E+00,2.00E-01,6.94E-10
Safrole,000094-59-7,NA,2.35E+02,NA,NA,1.10E+00,4.42E-02,7.59E-06,8.75E+01,3.71E-04,NA,2.07E+02,1.13E-02,3.45E+00,NA,1.12E+01,1.62E+02,1.00E-01,1.00E+00,5.90E+00,6.18E-02
"Samarium Chloride (Stable, Nonradioactive)",010361-82-7,NA,NA,NA,NA,4.46E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,6.82E+02,2.57E+02,NA,1.00E+00,9.38E+05,NA
"Samarium Nitrate (Stable, Nonradioactive)",010361-83-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.36E+02,NA,1.00E+00,1.44E+06,NA
Savey,078587-05-0,NA,5.39E+02,NA,NA,NA,3.80E-02,4.45E-06,NA,9.69E-07,NA,2.12E+03,8.28E-02,5.57E+00,NA,1.08E+02,3.53E+02,1.00E-01,1.00E+00,5.00E-01,2.55E-08
Scandium,007440-20-2,NA,2.84E+03,NA,NA,2.99E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,1.54E+03,4.50E+01,NA,1.00E+00,NA,NA
Selenious Acid,007783-00-8,NA,NA,NA,NA,3.00E+00,NA,NA,2.00E+02,NA,NA,NA,1.00E-03,NA,NA,7.00E+01,1.29E+02,NA,1.00E+00,9.00E+05,NA
Selenite,014124-67-5,NA,NA,NA,NA,NA,NA,NA,2.00E+02,NA,NA,NA,1.00E-03,NA,NA,7.00E+01,1.29E+02,NA,1.00E+00,NA,NA
Selenium,007782-49-2,1.50E-02,-4.13E+01,2.50E-02,6.25E-03,4.81E+00,NA,NA,2.00E+02,NA,5.00E+00,NA,1.00E-03,NA,4.00E-03,-6.57E+01,7.90E+01,NA,1.00E+00,NA,9.12E+03
Selenium Sulfide,007446-34-6,NA,NA,NA,NA,NA,NA,NA,2.00E+02,NA,NA,NA,1.00E-03,NA,NA,NA,1.11E+02,NA,1.00E+00,NA,NA
Selenourea,000630-10-4,NA,2.00E+02,NA,NA,NA,7.68E-02,8.98E-06,3.16E+00,NA,NA,1.20E+01,5.73E-06,-2.63E+00,NA,9.88E+00,1.23E+02,1.00E-01,1.00E+00,1.00E+06,1.87E+00
Sethoxydim,074051-80-2,6.00E-04,9.00E+01,1.11E-01,2.22E-02,1.04E+00,1.96E-02,4.82E-06,3.61E+02,8.83E-10,NA,4.37E+03,1.85E-02,4.38E+00,1.90E-04,1.61E+02,3.27E+02,1.00E-01,1.00E+00,2.50E+01,1.60E-07
"Silica (crystalline, respirable)",007631-86-9,NA,2.23E+03,NA,NA,2.32E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,1.71E+03,6.01E+01,NA,1.00E+00,NA,NA
Silicon,007440-21-3,NA,3.27E+03,NA,NA,2.33E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,1.41E+03,2.81E+01,NA,1.00E+00,NA,NA
Silver,007440-22-4,3.00E-03,2.16E+03,4.00E-01,1.00E-01,1.05E+01,NA,NA,5.00E+00,NA,8.30E+00,NA,6.00E-04,NA,2.00E-02,9.62E+02,1.08E+02,NA,4.00E-02,NA,0.00E+00
Silver Cyanide,000506-64-9,NA,NA,NA,NA,3.95E+00,NA,NA,5.00E+00,NA,NA,NA,1.00E-03,NA,NA,4.74E+02,1.34E+02,NA,4.00E-02,2.30E+01,NA
Simazine,000122-34-9,3.78E-06,3.07E+02,2.09E+00,4.19E-01,1.30E+00,2.81E-02,7.37E-06,3.67E+00,3.85E-08,NA,1.47E+02,3.25E-03,2.18E+00,1.20E-06,2.26E+02,2.02E+02,1.00E-01,1.00E+00,6.20E+00,2.21E-08
Sodium,007440-23-5,5.50E-02,8.81E+02,7.50E-02,1.88E-02,9.70E-01,NA,NA,2.00E+01,NA,1.00E+02,NA,1.00E-03,NA,3.50E-02,9.78E+01,2.30E+01,NA,1.00E+00,NA,NA
Sodium Acifluorfen,062476-59-9,NA,6.39E+02,NA,NA,NA,3.60E-02,4.20E-06,NA,2.47E-09,NA,3.88E+03,1.95E-05,3.70E-01,NA,2.77E+02,3.84E+02,1.00E-01,1.00E+00,2.50E+05,9.75E-09
Sodium Azide,026628-22-8,NA,NA,NA,NA,1.85E+00,NA,NA,2.00E+01,NA,NA,NA,1.00E-03,NA,NA,3.00E+02,6.50E+01,NA,1.00E+00,4.08E+05,NA
Sodium Chlorate,007775-09-9,NA,6.30E+02,NA,NA,2.50E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,2.48E+02,1.06E+02,NA,1.00E+00,1.00E+05,NA
Sodium Cyanide,000143-33-9,3.80E-09,1.50E+03,1.14E+02,2.30E+01,1.60E+00,NA,NA,2.00E+01,NA,NA,NA,1.00E-03,NA,1.20E-09,5.63E+02,4.90E+01,NA,1.00E+00,5.82E+05,0.00E+00
Sodium Diethyldithiocarbamate,000148-18-5,9.29E-10,4.85E+02,2.60E+02,5.20E+01,NA,6.16E-02,7.20E-06,5.90E+00,NA,NA,2.05E+02,1.92E-05,-1.43E+00,2.94E-10,9.40E+01,1.71E+02,1.00E-01,1.00E+00,4.28E+05,1.43E-08
Sodium Fluoride,007681-49-4,NA,1.70E+03,NA,NA,2.78E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,9.93E+02,4.20E+01,NA,1.00E+00,4.22E+04,0.00E+00
Sodium Fluoroacetate,000062-74-8,4.15E-12,3.93E+02,6.00E+03,1.20E+03,NA,8.82E-02,1.03E-05,3.16E+00,4.46E-05,NA,1.44E+00,1.32E-06,-3.78E+00,1.31E-12,2.01E+02,1.00E+02,1.00E-01,1.00E+00,1.11E+06,1.66E-07
Sodium Hydroxide,001310-73-2,NA,1.39E+03,NA,NA,2.13E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,3.18E+02,4.00E+01,NA,1.00E+00,1.00E+06,1.82E-21
Sodium Metavanadate,013718-26-8,NA,NA,NA,NA,NA,NA,NA,2.00E+01,NA,NA,NA,1.00E-03,NA,NA,6.30E+02,1.22E+02,NA,1.00E+00,2.10E+05,NA
Sodium Perchlorate,007601-89-0,NA,NA,NA,NA,2.52E+00,NA,NA,2.00E+01,NA,NA,NA,1.00E-03,NA,NA,4.80E+02,1.22E+02,NA,1.00E+00,2.10E+06,NA
Sodium acid pyrophosphate,007758-16-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,2.22E+02,NA,1.00E+00,NA,NA
Sodium aluminum phosphate (acidic),007785-88-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Sodium aluminum phosphate (anhydrous),010279-59-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Sodium aluminum phosphate (tetrahydrate),010305-76-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Sodium hexametaphosphate,010124-56-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,6.11E+02,NA,1.00E+00,NA,NA
Sodium polyphosphate,068915-31-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.60E+02,NA,1.00E+00,NA,NA
Sodium trimetaphosphate,007785-84-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.06E+02,NA,1.00E+00,NA,NA
Sodium tripolyphosphate,007758-29-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.68E+02,NA,1.00E+00,NA,NA
Specific conductance,000000-07-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stearyl Acetate,000822-23-1,1.31E+01,3.61E+02,3.37E-04,6.74E-05,NA,4.13E-02,4.82E-06,4.83E+02,1.62E+00,NA,8.27E+04,1.73E+01,8.72E+00,4.15E+00,3.45E+01,3.13E+02,1.00E-01,1.00E+00,3.53E-04,6.07E-05
Sterigmatocystin,010048-13-2,NA,4.79E+02,NA,NA,NA,4.03E-02,4.70E-06,3.97E+01,1.16E-10,NA,1.72E+03,8.13E-03,3.81E+00,NA,2.46E+02,3.24E+02,1.00E-01,1.00E+00,4.40E+00,1.73E-10
Stirofos (Tetrachlorovinphos),000961-11-5,8.47E-05,3.93E+02,3.45E-01,6.90E-02,NA,3.71E-02,4.34E-06,4.03E+01,7.52E-08,NA,1.38E+03,3.07E-03,3.53E+00,2.68E-05,9.60E+01,3.66E+02,1.00E-01,1.00E+00,1.10E+01,4.20E-08
Streptozotocin,018883-66-4,8.87E-10,4.75E+02,2.67E+02,5.34E+01,NA,4.60E-02,5.38E-06,3.16E+00,3.21E-20,NA,1.00E+01,1.39E-05,-1.45E+00,2.80E-10,1.15E+02,2.65E+02,1.00E-01,1.00E+00,1.00E+06,1.62E-11
"Strontium, Stable",007440-24-6,3.00E-04,1.38E+03,2.50E+00,6.25E-01,2.64E+00,NA,NA,6.00E+01,NA,3.50E+01,NA,1.00E-03,NA,1.50E-03,7.77E+02,8.76E+01,NA,1.00E+00,NA,NA
Strychnine,000057-24-9,2.13E-06,2.70E+02,2.92E+00,5.85E-01,1.36E+00,2.21E-02,5.58E-06,8.72E+00,2.44E-12,NA,5.40E+03,3.99E-04,1.93E+00,6.72E-07,2.87E+02,3.34E+02,1.00E-01,1.00E+00,1.60E+02,2.35E-10
Styrene,000100-42-5,2.23E-05,1.45E+02,7.49E-01,1.50E-01,9.02E-01,7.11E-02,8.78E-06,1.35E+01,1.12E-01,NA,4.46E+02,3.72E-02,2.95E+00,7.04E-06,-3.10E+01,1.04E+02,NA,1.00E+00,3.10E+02,6.40E+00
Styrene oxide,000096-09-3,1.02E-06,1.94E+02,4.48E+00,8.97E-01,1.05E+00,6.58E-02,8.83E-06,5.36E+00,6.46E-04,NA,1.14E+02,3.90E-03,1.61E+00,3.22E-07,-3.56E+01,1.20E+02,1.00E-01,1.00E+00,3.00E+03,3.00E-01
Sulfallate,000095-06-7,NA,1.29E+02,NA,NA,1.09E+00,2.45E-02,6.21E-06,5.60E+01,2.65E-04,NA,1.99E+03,1.09E-02,3.15E+00,NA,5.91E+01,2.24E+02,1.00E-01,1.00E+00,1.00E+02,2.20E-03
Sulfate,014808-79-8,NA,2.90E+02,NA,NA,NA,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,1.03E+01,9.81E+01,NA,1.00E+00,1.00E+06,5.93E-05
Sulfide,018496-25-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.41E+01,NA,1.00E+00,NA,NA
Sulfides,018946-25-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Sulfite,000000-08-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Sulfolane,000126-33-0,4.25E-09,2.85E+02,1.08E+02,2.15E+01,1.27E+00,7.16E-02,9.91E-06,3.16E+00,1.98E-04,NA,9.08E+00,1.02E-04,-7.70E-01,1.34E-09,2.76E+01,1.20E+02,1.00E-01,1.00E+00,2.93E+05,4.09E-03
"Sulfonylbis(4-chlorobenzene), 1,1'-",000080-07-9,NA,2.50E+02,NA,NA,NA,4.37E-02,5.10E-06,1.73E+02,5.60E-06,NA,2.86E+03,1.49E-02,3.90E+00,NA,1.48E+02,2.87E+02,1.00E-01,1.00E+00,5.12E-01,8.09E-07
Sulfur,007704-34-9,NA,4.45E+02,NA,NA,2.07E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,9.53E+01,3.21E+01,NA,1.00E+00,NA,NA
Sulfur Dioxide,007446-09-5,NA,-1.00E+01,NA,NA,2.62E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,-7.20E+01,6.41E+01,NA,1.00E+00,1.07E+05,3.00E+03
Sulfur Mustard,000505-60-2,NA,2.16E+02,NA,NA,1.27E+00,4.89E-02,8.38E-06,1.81E+01,1.00E-03,NA,2.40E+02,4.48E-03,2.41E+00,NA,1.35E+01,1.59E+02,1.00E-01,1.00E+00,7.00E+02,1.10E-01
Sulfuric Acid,007664-93-9,NA,2.90E+02,NA,NA,1.83E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,1.03E+01,9.81E+01,NA,1.00E+00,1.00E+06,5.93E-05
Systhane,088671-89-0,2.18E-05,2.05E+02,7.59E-01,1.52E-01,NA,4.35E-02,5.08E-06,4.04E+01,1.75E-07,NA,6.08E+03,3.37E-03,2.94E+00,6.88E-06,6.55E+01,2.89E+02,1.00E-01,1.00E+00,1.42E+02,1.60E-06
"TCDD, 2,3,7,8-",001746-01-6,1.58E-01,3.79E+02,4.38E-03,8.76E-04,NA,4.70E-02,4.73E-06,9.70E+04,2.04E-03,NA,2.49E+05,8.08E-01,6.80E+00,4.98E-02,3.05E+02,3.22E+02,3.00E-02,1.00E+00,2.00E-04,1.50E-09
"TCDF, 2,3,7,8-",051207-31-9,8.47E-02,3.83E+02,6.28E-03,1.26E-03,NA,4.18E-02,4.89E-06,4.06E+03,6.83E-04,NA,1.40E+05,6.57E-01,6.53E+00,2.68E-02,2.27E+02,3.06E+02,1.00E-01,1.00E+00,6.92E-04,1.47E-07
TCMTB,021564-17-0,4.99E-05,4.05E+02,4.69E-01,9.39E-02,NA,4.94E-02,5.78E-06,2.10E+02,2.65E-10,NA,3.37E+03,1.12E-02,3.30E+00,1.58E-05,1.53E+02,2.38E+02,1.00E-01,1.00E+00,1.25E+02,3.12E-07
Tebuthiuron,034014-18-1,1.54E-06,3.94E+02,3.53E+00,7.05E-01,NA,5.09E-02,5.94E-06,7.05E+00,4.91E-09,NA,4.24E+01,1.27E-03,1.79E+00,4.87E-07,1.63E+02,2.28E+02,1.00E-01,1.00E+00,2.50E+03,2.00E-06
Technetium,007440-26-8,NA,4.27E+03,NA,NA,1.10E+01,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,2.16E+03,9.79E+01,NA,1.00E+00,NA,NA
Temephos,003383-96-8,2.28E-02,4.80E+02,1.34E-02,2.69E-03,1.32E+00,1.83E-02,4.49E-06,3.98E+03,8.01E-08,NA,9.51E+04,3.45E-02,5.96E+00,7.20E-03,3.00E+01,4.66E+02,1.00E-01,1.00E+00,2.70E-01,7.91E-08
Terbacil,005902-51-2,1.94E-06,1.75E+02,3.09E+00,6.17E-01,1.34E+00,2.75E-02,7.18E-06,8.20E+00,4.91E-09,NA,5.01E+01,1.72E-03,1.89E+00,6.13E-07,1.76E+02,2.17E+02,1.00E-01,1.00E+00,7.10E+02,4.70E-07
Terbufos,013071-79-9,7.55E-04,6.90E+01,9.71E-02,1.94E-02,1.11E+00,2.16E-02,5.39E-06,4.20E+02,9.81E-04,NA,9.99E+02,3.58E-02,4.48E+00,2.39E-04,-2.92E+01,2.88E+02,1.00E-01,1.00E+00,5.07E+00,3.20E-04
Terbutryn,000886-50-0,1.37E-04,1.57E+02,2.61E-01,5.22E-02,1.12E+00,2.38E-02,6.03E-06,4.15E+01,8.79E-07,NA,6.07E+02,2.12E-02,3.74E+00,4.34E-05,1.04E+02,2.41E+02,1.00E-01,1.00E+00,2.50E+01,1.69E-06
Test Chemical,000001-23-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47)",005436-43-1,NA,4.06E+02,NA,NA,NA,3.07E-02,3.59E-06,NA,3.47E-04,NA,1.32E+04,9.29E-02,6.77E+00,NA,1.62E+02,4.86E+02,1.00E-01,1.00E+00,5.42E-02,7.00E-08
Tetrabutyl Lead,001920-90-7,NA,3.31E+02,NA,NA,NA,3.31E-02,3.86E-06,NA,3.25E+02,NA,7.88E+04,4.04E+00,8.81E+00,NA,7.18E+01,4.36E+02,1.00E-01,1.00E+00,1.44E-02,2.70E-04
"Tetrachloroaniline, 2,3,5,6-",003481-20-7,NA,2.98E+02,NA,NA,NA,5.05E-02,5.90E-06,NA,4.66E-05,NA,7.42E+03,4.21E-02,4.10E+00,NA,1.06E+02,2.31E+02,1.00E-01,1.00E+00,7.96E+01,3.47E-04
"Tetrachlorobenzene, 1,2,3,4-",000634-66-2,9.95E-04,2.54E+02,8.27E-02,1.65E-02,NA,5.28E-02,6.17E-06,2.42E+03,3.11E-02,NA,2.27E+03,1.10E-01,4.60E+00,3.15E-04,4.75E+01,2.16E+02,1.00E-01,1.00E+00,5.92E+00,3.90E-02
"Tetrachlorobenzene, 1,2,4,5-",000095-94-3,1.09E-03,2.45E+02,7.84E-02,1.57E-02,1.86E+00,3.19E-02,8.75E-06,2.78E+03,4.09E-02,NA,2.22E+03,1.17E-01,4.64E+00,3.45E-04,1.40E+02,2.16E+02,1.00E-01,1.00E+00,5.95E-01,5.40E-03
"Tetrachlorobiphenyl, 3,3',4,4'- (PCB 77)",032598-13-3,1.07E-01,3.60E+02,5.50E-03,1.10E-03,NA,4.32E-02,5.04E-06,4.20E+04,3.84E-04,NA,7.81E+04,9.17E-01,6.63E+00,3.37E-02,1.80E+02,2.92E+02,1.40E-01,1.00E+00,5.69E-04,1.64E-05
"Tetrachlorobiphenyl, 3,4,4',5- (PCB 81)",070362-50-4,NA,3.60E+02,NA,NA,NA,4.32E-02,5.04E-06,NA,9.12E-03,NA,7.81E+04,5.84E-01,6.34E+00,NA,1.22E+02,2.92E+02,1.40E-01,1.00E+00,3.22E-02,8.45E-06
"Tetrachloroethane, 1,1,1,2-",000630-20-6,2.13E-05,1.31E+02,7.69E-01,1.54E-01,1.54E+00,4.82E-02,9.10E-06,4.00E+01,1.02E-01,NA,8.60E+01,1.59E-02,2.93E+00,6.72E-06,-7.02E+01,1.68E+02,NA,1.00E+00,1.07E+03,1.20E+01
"Tetrachloroethane, 1,1,2,2-",000079-34-5,6.14E-06,1.47E+02,1.58E+00,3.16E-01,1.60E+00,4.89E-02,9.29E-06,1.30E+01,1.50E-02,NA,9.49E+01,6.94E-03,2.39E+00,1.94E-06,-4.38E+01,1.68E+02,NA,1.00E+00,2.83E+03,1.33E+01
Tetrachloroethylene,000127-18-4,6.28E-05,1.21E+02,4.11E-01,8.21E-02,1.62E+00,5.05E-02,9.46E-06,5.20E+01,7.24E-01,NA,9.49E+01,3.34E-02,3.40E+00,1.98E-05,-2.23E+01,1.66E+02,NA,1.00E+00,2.06E+02,1.85E+01
"Tetrachlorophenol, 2,3,4,5-",004901-51-3,4.05E-04,2.88E+02,1.39E-01,2.78E-02,NA,5.03E-02,5.88E-06,2.79E+02,1.41E-05,NA,2.97E+03,4.91E-02,4.21E+00,1.28E-04,1.17E+02,2.32E+02,1.00E-01,1.00E+00,1.93E+02,1.62E-04
"Tetrachlorophenol, 2,3,4,6-",000058-90-2,7.05E-04,1.50E+02,1.01E-01,2.02E-02,NA,5.03E-02,5.88E-06,2.00E+02,3.61E-04,NA,2.97E+03,7.10E-02,4.45E+00,2.23E-04,7.00E+01,2.32E+02,1.00E-01,1.00E+00,2.30E+01,6.66E-04
Tetrachlorophenols (total),025167-83-3,NA,2.88E+02,NA,NA,NA,5.03E-02,5.88E-06,NA,3.61E-04,NA,2.97E+03,7.10E-02,4.45E+00,NA,7.00E+01,2.32E+02,1.00E-01,1.00E+00,2.30E+01,6.66E-04
"Tetrachloroterephthalate, 2,3,5,6-",002136-79-0,NA,4.26E+02,NA,NA,NA,4.20E-02,4.91E-06,NA,8.30E-12,NA,1.31E+03,8.08E-04,2.13E+00,NA,1.78E+02,3.04E+02,1.00E-01,1.00E+00,1.42E+00,4.89E-08
"Tetrachlorotoluene, p- alpha, alpha, alpha-",005216-25-1,8.67E-04,2.45E+02,8.96E-02,1.79E-02,1.45E+00,2.76E-02,7.25E-06,4.60E+02,7.89E-03,NA,1.61E+03,8.36E-02,4.54E+00,2.74E-04,4.05E+01,2.30E+02,1.00E-01,1.00E+00,6.11E+00,2.49E-02
Tetraethyl Dithiopyrophosphate,003689-24-5,2.44E-04,1.37E+02,1.87E-01,3.74E-02,1.20E+00,2.12E-02,5.28E-06,1.99E+02,1.82E-04,NA,2.66E+02,1.09E-02,3.99E+00,7.72E-05,-3.23E+01,3.22E+02,1.00E-01,1.00E+00,3.00E+01,1.05E-04
Tetraethyl Lead,000078-00-2,3.53E-04,2.02E+02,1.51E-01,3.02E-02,1.65E+00,2.46E-02,6.40E-06,2.54E+02,2.32E+01,NA,6.48E+02,1.37E-02,4.15E+00,1.12E-04,-1.36E+02,3.23E+02,1.00E-01,1.00E+00,2.90E-01,2.60E-01
"Tetrafluoroethane, 1,1,1,2-",000811-97-2,1.20E-06,-2.60E+01,4.08E+00,8.17E-01,1.21E+00,8.23E-02,1.06E-05,5.96E+00,2.04E+00,NA,8.60E+01,5.48E-03,1.68E+00,3.78E-07,-1.01E+02,1.02E+02,NA,1.00E+00,1.09E+03,4.99E+03
Tetrahydrofuran,000109-99-9,7.21E-08,6.50E+01,2.08E+01,4.17E+00,8.83E-01,9.54E-02,1.08E-05,3.16E+00,2.88E-03,NA,1.08E+01,1.25E-03,4.60E-01,2.28E-08,-1.08E+02,7.21E+01,1.00E-01,1.00E+00,1.00E+06,1.62E+02
Tetrahydrothiophene,000110-01-0,1.54E-06,1.21E+02,3.53E+00,7.05E-01,9.99E-01,8.60E-02,1.03E-05,7.04E+00,9.77E-03,NA,8.00E+01,7.75E-03,1.79E+00,4.87E-07,-9.61E+01,8.82E+01,NA,1.00E+00,5.91E+03,1.84E+01
Tetramethyl Lead,000075-74-1,2.33E-05,1.10E+02,7.29E-01,1.46E-01,2.00E+00,2.96E-02,8.04E-06,4.23E+01,1.09E+01,NA,4.39E+01,4.66E-03,2.97E+00,7.37E-06,-2.75E+01,2.67E+02,1.00E-01,1.00E+00,1.50E+01,2.60E+01
Tetramethylcyclohexane,030501-43-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Tetrapotassium phosphate,007320-34-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.30E+02,NA,1.00E+00,NA,NA
Tetrapropyl Lead,003440-75-3,NA,2.73E+02,NA,NA,NA,3.62E-02,4.23E-06,NA,1.05E+02,NA,7.15E+03,4.12E-01,6.85E+00,NA,3.24E+01,3.80E+02,1.00E-01,1.00E+00,1.77E+00,1.20E-02
Tetrasodium pyrophosphate,007722-88-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,2.66E+02,NA,1.00E+00,NA,NA
Tetryl (Trinitrophenylmethylnitramine),000479-45-8,1.09E-06,1.80E+02,4.31E+00,8.62E-01,1.57E+00,2.56E-02,6.67E-06,5.65E+00,1.11E-07,NA,4.61E+03,4.74E-04,1.64E+00,3.45E-07,1.32E+02,2.87E+02,1.00E-01,1.00E+00,7.40E+01,1.17E-07
Thallic Oxide,001314-32-5,NA,NA,NA,NA,1.02E+01,NA,NA,1.00E+04,NA,NA,NA,1.00E-03,NA,NA,8.34E+02,4.57E+02,NA,1.00E+00,NA,NA
Thallium (I) Nitrate,010102-45-1,NA,4.50E+02,NA,NA,5.55E+00,NA,NA,1.00E+04,NA,NA,NA,1.00E-03,NA,NA,2.06E+02,2.66E+02,NA,1.00E+00,9.55E+04,NA
Thallium (Soluble Salts),007440-28-0,4.00E-02,1.46E+03,4.00E-03,1.00E-03,1.18E+01,NA,NA,1.00E+04,NA,7.10E+01,NA,1.00E-03,NA,2.00E-03,3.04E+02,2.04E+02,NA,1.00E+00,NA,NA
